ID,Question,1,2,3,4,Answer,Explanation
1,Which syntax for class definition is wrong?,class student{ };,student class{ };,class student{ public: student(int a){ } };,class student{ student(int a){} };,2,Keyword class should come first. Class name should come after keyword class. Parameterized constructor definition depends on programmer so it can be left empty also.
2,Which of the following is incorrect?,class student{ }s;,class student{ }; student s;,class student{ }s[];,class student{ }; student s[5];,3,"The array must be specified with a size. You can’t declare object array, or any other linear array without specifying its size. It’s a mandatory field."
3,Which among the following is wrong?,class student{ }; student s;,abstract class student{ }; student s;,abstract class student{ }s[50000000];,abstract class student{ }; class toppers: public student{ }; topper t;,2,"We can never create instance of an abstract class. Abstract classes doesn’t have constructors and hence when an instance is created there is no facility to initialize its members. Option d is correct because topper class is inheriting the base abstract class student, and hence topper class object can be created easily."
4,Which among the following is correct?,"class student{ }s1,s2; s1.student()=s2.student();",class student{ }s1; class topper{ }t1; s1=t1;,"class student{ }s1,s2; s1=s2;",class student{ }s1; class topper{ }t1; s1.student()=s2.topper();,3,Only if the objects are of same class then their data can be copied from to another using assignment operator. This actually comes under operator overloading. Class constructors can’t be assigned any explicit value as in option class student{ }s1; class topper{ }t1; s1=t1; and class student{ }s1; class topper{ }t1; s1.student()=s2.topper();.
5,Which among the following is correct?,class student{ public: int student(){} };,class student{ public: void student (){} };,class student{ public: student{}{} };,class student{ public: student(){} };,4,"The constructors must not have any return type. Also, the body may or may not contain any body. Defining default constructor is optional, if you are not using any other constructor."
6,Which among the following function can be used to call default constructor implicitly in java?,this(),that(),super(),sub(),1,The function this() can be used to call the default constructor from inside any other constructor. This helps to further reuse the code and not to write the redundant data in all the constructors.
7,Which is correct syntax?,classname objectname= new() integer;,classname objectname= new classname;,classname objectname= new classname();,classname objectname= new() classname();,3,The syntax for object creating in java with calling a constructor for is it is as in option c. The syntax must contain the classname followed by the object name. The keyword new must be used and then the constructor call with or without the parameters as required.
8,Which among the following is correct to call a private member from outside the class?,object.memberfunction( parameters );,object->memberfunction( parameters );,object->memberfunction( parameteres); or object.memberfunction( parameters );,Not possible,4,"The private member function will not be accessible from outside the class. Hence any syntax will not work to access the private members. If you have the address of the member, may be you can access those members, but that is a totally different case and concept."
9,Choose the correct option for the following code:     class A{ static int c=0; public: A(){ c++; } };,Constructor will make c=1 for each object created,Constructor will make c=0 for each object created,Constructor will keep number of objects created,Constructor will just initialize c=0 then increment by 1,3,The constructor is using a static member to keep the count of the number of objects created. This is done because the variable c is static and hence the value will be common for all the objects created.
10,Which among the following is not allowed for data member declaration?,int a;,static int a;,abstract a;,Boolean a;,3,"The abstract keyword in the declaration of data members is not allowed. This is because the abstract keyword features can’t be used with the data members of the class. We can have all other syntax given, but not abstract."
