ID,Question,1,2,3,4,Answer,Explanation
1,Which was the first purely object oriented programming language developed?,Java,C++,SmallTalk,Kotlin,3,SmallTalk was the first programming language developed which was purely object oriented. It was developed by Alan Kay. OOP concept came into the picture in 1970’s.
2,Which of the following best defines a class?,Parent of an object,Instance of an object,Blueprint of an object,Scope of an object,3,A class is Blueprint of an object which describes/ shows all the functions and data that are provided by an object of a specific class. It can’t be called as parent or instance of an object. Class in general describes all the properties of an object.
3,Which Feature of OOP illustrated the code reusability?,Polymorphism,Abstraction,Encapsulation,Inheritance,4,"Using inheritance we can reuse the code already written and also can avoid creation of many new functions or variables, as that can be done one time and be reused, using classes."
4,How many classes can be defined in a single program?,Only 1,Only 100,Only 999,As many as you want,4,"Any number of classes can be defined inside a program, provided that their names are different. In java, if public class is present then it must have the same name as that of file."
5,Which of the two features match each other?,Inheritance and Encapsulation,Encapsulation and Polymorphism,Encapsulation and Abstraction,Abstraction and Polymorphism,3,Encapsulation and Abstraction are similar features. Encapsulation is actually binding all the properties in a single class or we can say hiding all the features of object inside a class. And Abstraction is hiding unwanted data (for user) and showing only the data required by the user of program.
6,Which feature of OOP indicates code reusability?,Encapsulation,Inheritance,Abstraction,Polymorphism,2,Inheritance indicates the code reusability. Encapsulation and abstraction are meant to hide/group data into one element. Polymorphism is to indicate different tasks performed by a single entity.
7,Does OOP provide better security than POP?,Always true for any programming language,May not be true with respect to all programming languages,It depends on type of program,It’s vice-versa is true,1,"It is always true as we have the facility of private and protected access specifiers. Also, only the public and global data are available globally or else the program should have proper permission to access the private data."
8,Which among the following can be viewed as combination of abstraction of data and code.,Class,Object,Inheritance,Interfaces,2,Object can be viewed as abstraction of data and code. It uses data members and their functioning as data abstraction. Code abstraction as use of object of inbuilt class.
9,Using higher degree of abstraction __________,May get unsafe,May reduce readability,Can be safer,Can increase vulnerability,3,"It will make the code safer. One may think it reduces the readability, but the fact is, it actually helps us understand the code better. We don’t have to read the complex code which is of no use in understanding the program."
10,What is the scope of a class nested inside another class?,Protected scope,Private scope,Global scope,Depends on access specifier and inheritance used,4,"It depends on the access specifier and the type of inheritance used with the class, because if the class is inherited then the nested class can be used by subclass too, provided it’s not of private type."
11,How members of an object are accessed?,Using dot operator/period symbol,Using scope resolution operator,Using member names directly,Using pointer only,1,Using dot operator after the name of object we can access its members. It is not necessary to use the pointers. We can’t use the names directly because it may be used outside the class.
12,Which among the following is not true for polymorphism?,It is feature of OOP,Increases overhead of function definition always,Helps in redefining the same functionality,Ease in readability of program,2,"It never increases function definition overhead, one way or another if you don’t use polymorphism, you will use the definition in some other way, so it actually helps to write efficient codes."
13,Which among the following doesn’t come under OOP concept?,Platform independent,Data binding,Message passing,Data hiding,1,Platform independence is not feature of OOP. C++ supports OOP but it’s not a platform independent language. Platform independence depends on programming language.
14,"Which among the following is called first, automatically, whenever an object is created?",Class,Constructor,New,Trigger,2,Constructors are the member functions which are called automatically whenever an object is created. It is a mandatory functions to be called for an object to be created as this helps in initializing the object to a legal initial value for the class.
