ID,Question,Answer
1,Which operator can be used to check the size of an object?,sizeof(objectName)
2,syntax to use explicit class specialization,template <> class myClass<int>{ }
3,The syntax for defining the static data members,dataType className :: memberName = value;
4,syntax for returning an object by value,ClassName functionName ( ){ }
5,syntax for defining a function which passes an object by reference,className& functionName ( )
6,correct syntax for declaring pointer to object,className* objectName;
7,syntax of dynamic_cast,dynamic_cast(object)
8,syntax to delete a single object,delete objectName;
9,Syntax to delete an array of objects,delete [] objectName;
10,syntax for extern variable declaration,extern data_type variable_name;
11,syntax for extern function declaration,extern return_type function_name(argument_list);
12,declare an object of class String,String object_Name = value;
13,function to get the character present at a particular index in the string,char charAt(index);
14,Get the index of last occurrence of specified character in argument,lastIndexOf()
15,Compare string object to another string object,compareTo()
16,Convert the whole string characters to uppercase,toUpper()
17,Remove white space from both the ends of string,trim()
18,function to exit from the program that is provided by System class,exit(int);
19,Java package which contains the utility classes,java.util
20,Syntax to create object of the inner class,OuterClass.InnerClass innerObject = outerObject.new InnerClass();
21,Syntac to access static nested classes,OuterClass.StaticNestedClass
,,
